Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales
Gladius,GC,2003,Strategy,Activision,0.07,0.43,0.03,0
I-Ninja,XB,2003,Platform,Namco Bandai Games,0.07,0.38,0.05,0
Beyond Good & Evil,GC,2003,Adventure,Ubisoft,0.07,0,0.29,0
Mucha Lucha! Mascaritas of the Lost Code,GBA,2003,Fighting,Ubisoft,0.07,0.26,0.17,0
Archer Maclean's 3D Pool,GBA,2003,Misc,Crave Entertainment,0.07,0.33,0.12,0
Exhibition Volume 4,XB,2003,Misc,Microsoft Game Studios,0.07,0.2,0.15,0.06
Pitfall: The Lost Expedition,GBA,2003,Platform,Activision,0.07,0.25,0.12,0
All-Star Baseball 2004,GBA,2003,Sports,Acclaim Entertainment,0.07,0,0,0.46
SimCity 4: Deluxe Edition,PC,2003,Simulation,Electronic Arts,0.07,0.13,0.1,0.2
Romance of the Three Kingdoms IX,PS2,2003,Strategy,Tecmo Koei,0.07,0,0,0.46
Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,0.07,0.33,0.12,0
Wallace & Gromit in Project Zoo,GC,2003,Platform,BAM! Entertainment,0.07,0.33,0.12,0
FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,0.07,0.23,0.18,0
Rayman 3: Hoodlum Havoc,GC,2003,Platform,Ubisoft,0.07,0.38,0.01,0
Tom and Jerry in War of the Whiskers,GC,2003,Fighting,NewKidCo,0.07,0.25,0.16,0.01
Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,0.07,0.38,0.01,0
Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,0.07,0.33,0.12,0
Spawn: Armageddon,GC,2003,Action,Electronic Arts,0.07,0.24,0.15,0
Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,0.07,0.26,0.17,0
Batman: Rise of Sin Tzu,GBA,2003,Action,Ubisoft,0.07,0.26,0.17,0
World Racing,XB,2003,Racing,TDK Mediactive,0.07,0.26,0.15,0
Disney's Party,GBA,2003,Misc,Hudson Entertainment,0.07,0.12,0.25,0.02
Worms 3D,GC,2003,Strategy,Sega,0.07,0.42,0,0
NHL Hitz Pro,XB,2003,Sports,Midway Games,0.07,0.38,0.01,0
Bionicle,XB,2003,Action,Electronic Arts,0.06,0.26,0.15,0
Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,0.06,0.43,0.03,0
XGRA: Extreme G Racing Association,PS2,2003,Racing,Acclaim Entertainment,0.06,0.22,0.18,0
Tonka Rescue Patrol,GC,2003,Action,TDK Mediactive,0.06,0.17,0.23,0
The King of Route 66,PS2,2003,Racing,Sega,0.06,0.22,0.18,0
Muppets Party Cruise,PS2,2003,Misc,TDK Mediactive,0.06,0.33,0.12,0
Barbie Horse Adventures: Wild Horse Rescue,XB,2003,Sports,Vivendi Games,0.06,0.33,0.12,0
The Great Escape,XB,2003,Action,SCi,0.06,0.42,0.01,0
Vexx,GC,2003,Platform,Acclaim Entertainment,0.06,0.12,0.27,0
Batman: Rise of Sin Tzu,GC,2003,Action,Ubisoft,0.06,0.21,0.15,0.04
Flipnic: Ultimate Pinball,PS2,2003,Misc,Ubisoft,0.06,0.22,0,0.22
Oddworld: Munch's Oddysee,GBA,2003,Platform,THQ,0.06,0.29,0.13,0
Resident Evil - Code: Veronica X,GC,2003,Action,Capcom,0.06,0.22,0.17,0
Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios,0.06,0,0,0.46
Worms 3D,XB,2003,Strategy,Sega,0.06,0.21,0.21,0
Resident Evil 2,GC,2003,Action,Capcom,0.06,0,0.38,0
Terminator 3: Rise of the Machines,GBA,2003,Action,Atari,0.06,0.25,0.17,0
Lost Kingdoms II,GC,2003,Role-Playing,Activision,0.06,0.25,0.17,0
Whiplash,XB,2003,Racing,Eidos Interactive,0.06,0.22,0.17,0
Speed Kings,XB,2003,Racing,Acclaim Entertainment,0.05,0.29,0.13,0
Gladiator: Sword of Vengeance,XB,2003,Action,Acclaim Entertainment,0.05,0,0,0.46
Phantasy Star Online Episode I & II Plus,GC,2003,Role-Playing,Sega,0.05,0.14,0.11,0.17
Wing Commander: Prophecy,GBA,2003,Simulation,"Destination Software, Inc",0.05,0,0,0.45
BlowOut,XB,2003,Shooter,Zoo Digital Publishing,0.05,0.35,0.06,0
Shaman King: Soul Fight,GC,2003,Platform,Namco Bandai Games,0.05,0.33,0.09,0
Medabots: Infinity,GC,2003,Role-Playing,Ubisoft,0.05,0.36,0.08,0
Sitting Ducks,PS2,2003,Platform,LSP Games,0.05,0.23,0.14,0
NFL Blitz Pro,XB,2003,Sports,Midway Games,0.05,0.25,0.17,0
Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision,0.05,0.3,0.12,0
Otogi 2: Immortal Warriors,XB,2003,Action,Sega,0.05,0.09,0.24,0
Piglet's Big Game,GC,2003,Platform,Gotham Games,0.05,0.3,0.11,0
IndyCar Series,XB,2003,Racing,Codemasters,0.05,0,0,0.45
Piglet's Big Game,GBA,2003,Platform,THQ,0.05,0.33,0.12,0
Monster! Bass Fishing,GBA,2003,Sports,Ignition Entertainment,0.05,0.26,0.15,0
FIFA Soccer 2004,GBA,2003,Sports,Electronic Arts,0.05,0.25,0.17,0
Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.05,0.09,0.34,0
Monster 4x4: Masters of Metal,GC,2003,Racing,Ubisoft,0.05,0,0,0.45
Jim Henson's Muppets in Spy Muppets: License to Croak,GBA,2003,Action,TDK Mediactive,0.05,0,0,0.45
Arx Fatalis,XB,2003,Role-Playing,Mindscape,0.05,0.34,0.09,0.02
Dr. Seuss: Green Eggs and Ham,GBA,2003,Action,NewKidCo,0.05,0.2,0.21,0
The Lost Vikings,GBA,2003,Puzzle,Activision,0.05,0.34,0.1,0
Rogue Ops,GC,2003,Action,Kemco,0.05,0,0,0.45
Alter Echo,XB,2003,Shooter,THQ,0.05,0.24,0.17,0
Rock 'N Roll Racing,GBA,2003,Racing,Activision,0.05,0.35,0.05,0
Freelancer,PC,2003,Simulation,Microsoft Game Studios,0.05,0.23,0.06,0.16
Ribbit King,GC,2003,Sports,Atari,0.05,0.21,0.14,0.01
Summoner: A Goddess Reborn,GC,2003,Role-Playing,THQ,0.05,0.22,0.17,0
Need for Speed Underground,PC,2003,Racing,Electronic Arts,0.05,0.29,0.01,0.12
Black & Bruised,GC,2003,Fighting,Vivendi Games,0.05,0.42,0,0
Super Bubble Pop,GC,2003,Puzzle,Jaleco,0.05,0.43,0,0
Double Dragon Advance,GBA,2003,Action,Atlus,0.05,0.32,0.11,0
Yager,XB,2003,Shooter,THQ,0.05,0.38,0.01,0
Futurama,XB,2003,Platform,SCi,0.05,0.42,0.03,0
Activision Anthology,GBA,2003,Misc,Activision,0.05,0.42,0,0
Spy Fiction,PS2,2003,Action,Sega,0.04,0.25,0.17,0
Justice League: Chronicles,GBA,2003,Platform,Midway Games,0.04,0.13,0.27,0
Dai Senryaku VII: Modern Military Tactics,XB,2003,Strategy,Kool Kizz,0.04,0.22,0.17,0
Praetorians,PC,2003,Strategy,Eidos Interactive,0.04,0,0,0.42
SX Superstar,XB,2003,Racing,Acclaim Entertainment,0.04,0.22,0.17,0
Bloody Roar Extreme,XB,2003,Fighting,Hudson Soft,0.04,0.42,0,0
MLB SlugFest 20-04,GC,2003,Sports,Midway Games,0.04,0.42,0,0
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.04,0.42,0,0
Superman: Countdown to Apokolips,GBA,2003,Platform,Atari,0.04,0.21,0.2,0
Kikou Heidan J-Phoenix 2,PS2,2003,Action,Takara,0.04,0.42,0,0
Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,0.04,0.34,0.1,0
Fisherman's Challenge,PS2,2003,Sports,Konami Digital Entertainment,0.04,0.42,0.02,0
Mission: Impossible - Operation Surma,GBA,2003,Platform,Atari,0.04,0.03,0.02,0.38
Cyber Troopers Virtual-On Marz,PS2,2003,Fighting,Sega,0.04,0.41,0,0
Stuntman,GBA,2003,Racing,Atari,0.04,0.18,0.23,0
Grand Theft Auto: Vice City,PC,2003,Action,Take-Two Interactive,0.04,0.3,0.11,0
Pro Race Driver,XB,2003,Racing,Codemasters,0.04,0.4,0.03,0
Halo: Combat Evolved,PC,2003,Shooter,Microsoft Game Studios,0.04,0.4,0.05,0
Garfield: The Search for Pooky,GBA,2003,Platform,Game Factory,0.04,0.25,0.17,0
World Championship Pool 2004,XB,2003,Sports,Jaleco,0.04,0.37,0.03,0
Stadium Games,GBA,2003,Sports,Ignition Entertainment,0.04,0.02,0.38,0.01
RLH: Run Like Hell,XB,2003,Shooter,Avalon Interactive,0.04,0.32,0.12,0
Railroad Tycoon 3,PC,2003,Strategy,Gathering of Developers,0.04,0,0,0.45
Sega Arcade Gallery,GBA,2003,Misc,THQ,0.04,0.29,0.13,0
Black Stone: Magic & Steel,XB,2003,Role-Playing,THQ,0.04,0.39,0.02,0
FunkMaster Flex's Digital Hitz Factory,PS2,2003,Misc,Jester Interactive,0.04,0,0,0.45
Zatch Bell! Electric Arena,GBA,2003,Fighting,Banpresto,0.03,0.2,0.15,0.03
"Crouching Tiger, Hidden Dragon",GBA,2003,Action,Ubisoft,0.03,0.22,0.17,0
SX Superstar,GC,2003,Racing,Acclaim Entertainment,0.03,0,0,0.45
Star Wars Jedi Knight: Jedi Academy,PC,2003,Shooter,Activision,0.03,0.36,0.08,0
Red Faction II,GC,2003,Shooter,THQ,0.03,0.36,0.08,0
Battle Engine Aquila,PS2,2003,Shooter,Atari,0.03,0.09,0.26,0.05
The Italian Job,GC,2003,Racing,Eidos Interactive,0.03,0.37,0.05,0
The Sum of All Fears,GC,2003,Shooter,Ubisoft,0.03,0.21,0.21,0
Project Gotham Racing 2 (JP weekly sales),XB,2003,Action,Microsoft Game Studios,0.03,0.32,0.12,0
Disney's Hide & Sneak,GC,2003,Action,Capcom,0.03,0.22,0.03,0
RoadKill,GC,2003,Action,Midway Games,0.03,0,0,0.42
Starsky & Hutch,GBA,2003,Racing,Empire Interactive,0.03,0.32,0.12,0
Sitting Ducks,GBA,2003,Platform,LSP Games,0.03,0.41,0,0
Lock On: Modern Air Combat,PC,2003,Simulation,Ubisoft,0.03,0.42,0.02,0
Go! Go! Hypergrind,GC,2003,Sports,Atlus,0.03,0,0,0.42
Freaky Flyers,XB,2003,Racing,Midway Games,0.03,0.26,0.15,0
Homeworld 2,PC,2003,Strategy,Vivendi Games,0.03,0.39,0.02,0.01
Rayman 3: Hoodlum Havoc,PC,2003,Platform,Ubisoft,0.03,0.41,0,0
CIMA: The Enemy,GBA,2003,Role-Playing,Marvelous Interactive,0.03,0.12,0.28,0
Robin Hood: Defender of the Crown,XB,2003,Strategy,Capcom,0.03,0,0.06,0
Disney's Aladdin,GBA,2003,Platform,Capcom,0.03,0,0,0.42
Wallace & Gromit in Project Zoo,XB,2003,Platform,BAM! Entertainment,0.03,0.09,0.02,0
Drome Racers,GC,2003,Racing,Electronic Arts,0.03,0.04,0.03,0.36
Buffy the Vampire Slayer: Wrath of the Darkhul King,GBA,2003,Action,THQ,0.03,0.32,0.09,0
Motor Trend presents Lotus Challenge,XB,2003,Racing,Xicat Interactive,0.03,0.25,0.17,0
Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.03,0.34,0.1,0
Pro Cast Sports Fishing,XB,2003,Sports,Capcom,0.03,0.35,0.09,0
Dakar 2: The World's Ultimate Rally,GC,2003,Racing,Acclaim Entertainment,0.03,0.21,0.16,0.01
Auto Modellista,GC,2003,Racing,Capcom,0.03,0.42,0.02,0
Gotcha Force,GC,2003,Shooter,Capcom,0.03,0.35,0.09,0
Demon Driver: Time to Burn Rubber!,GBA,2003,Racing,Ignition Entertainment,0.03,0.4,0.02,0
Mojo!,XB,2003,Puzzle,DreamCatcher Interactive,0.03,0.36,0.07,0
Buffy the Vampire Slayer: Chaos Bleeds,GC,2003,Action,Vivendi Games,0.03,0.21,0.2,0
Jet Grind Radio,GBA,2003,Action,Sega,0.03,0.25,0.17,0
Max Payne 2: The Fall of Max Payne,PC,2003,Shooter,Take-Two Interactive,0.03,0.02,0.27,0.11
RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003,Strategy,Atari,0.03,0.22,0.17,0
Judge Dredd: Dredd Vs Death,PS2,2003,Shooter,BAM! Entertainment,0.03,0.14,0.09,0.19
Drome Racers,GBA,2003,Racing,THQ,0.03,0.13,0.21,0.07
Stake: Fortune Fighters,XB,2003,Fighting,Metro 3D,0.02,0.16,0.21,0
Disney's Magical Quest 3 Starring Mickey and Donald,GBA,2003,Action,Capcom,0.02,0,0.39,0
Jurassic Park: Operation Genesis,PC,2003,Simulation,Vivendi Games,0.02,0.13,0.29,0
IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,Ubisoft,0.02,0.23,0.14,0
Summon Night: Swordcraft Story,GBA,2003,Role-Playing,Banpresto,0.02,0.42,0.03,0
Freestyle Metal X,XB,2003,Racing,Midway Games,0.02,0.22,0.17,0
NFL Blitz Pro,GC,2003,Sports,Midway Games,0.02,0.15,0.26,0
Muppets Party Cruise,GC,2003,Misc,TDK Mediactive,0.02,0.32,0.12,0
Group S Challenge,XB,2003,Racing,Capcom,0.02,0.18,0.22,0
Dakar 2: The World's Ultimate Rally,XB,2003,Racing,Acclaim Entertainment,0.02,0.3,0.11,0.01
XGRA: Extreme G Racing Association,GC,2003,Racing,Acclaim Entertainment,0.02,0.42,0,0
Wakeboarding Unleashed Featuring Shaun Murray,GBA,2003,Sports,Aspyr,0.02,0.25,0.15,0
XGRA: Extreme G Racing Association,XB,2003,Racing,Acclaim Entertainment,0.02,0.22,0.17,0
Speed Kings,GC,2003,Racing,Acclaim Entertainment,0.02,0.13,0.23,0
Vietcong,PC,2003,Shooter,Gathering of Developers,0.02,0.42,0,0
Charlie's Angels,GC,2003,Action,Ubisoft,0.02,0.41,0,0
Broken Sword: The Sleeping Dragon,XB,2003,Adventure,THQ,0.02,0.37,0.01,0
Commandos 3: Destination Berlin,PC,2003,Strategy,Eidos Interactive,0.02,0.38,0.04,0
Uru: Ages Beyond Myst,PC,2003,Adventure,Ubisoft,0.02,0.37,0.01,0
RoboCop,XB,2003,Shooter,Titus,0.02,0.06,0.33,0.02
Ozzy & Drix,GBA,2003,Platform,Midway Games,0.02,0.42,0.02,0
Pulse Racer,XB,2003,Racing,Jaleco,0.02,0.22,0.17,0
Freestyle Metal X,GC,2003,Racing,Midway Games,0.02,0.37,0.01,0
Spirits & Spells,GC,2003,Platform,Wanadoo,0.02,0.22,0.17,0
Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0.02,0.22,0.17,0
Battle Engine Aquila,XB,2003,Shooter,Atari,0.02,0.13,0.15,0.14
Judge Dredd: Dredd Vs Death,XB,2003,Shooter,Vivendi Games,0.02,0.09,0.24,0.03
Post Mortem,PC,2003,Adventure,Microids,0.02,0.3,0.12,0
V-Rally 3,XB,2003,Racing,Atari,0.02,0.26,0.14,0.01
Command & Conquer Collection,PC,2003,Strategy,Electronic Arts,0.02,0.14,0.21,0.02
Dragon Tales: Dragon Adventures,GBA,2003,Platform,NewKidCo,0.02,0.19,0.18,0
Choro Q,PS2,2003,Racing,Zoo Digital Publishing,0.02,0.04,0.26,0
Blackthorne,GBA,2003,Action,Activision,0.01,0.26,0.14,0
Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,0.01,0.22,0.17,0
Grooverider: Slot Car Thunder,XB,2003,Racing,Encore,0.01,0.33,0.1,0
Furious Karting,XB,2003,Racing,Atari,0.01,0.37,0.03,0.02
Freekstyle,GBA,2003,Racing,Zoo Digital Publishing,0.01,0,0,0.41
Aquaman: Battle for Atlantis,GC,2003,Action,TDK Mediactive,0.01,0.35,0.08,0
CT Special Forces 2: Back in the Trenches,GBA,2003,Shooter,LSP Games,0.01,0.37,0.01,0
Army Men: Air Combat - The Elite Missions,GC,2003,Shooter,3DO,0.01,0.33,0.1,0
Rally Championship,GC,2003,Racing,SCi,0.01,0,0,0.43
Grooverider: Slot Car Thunder,GC,2003,Racing,Encore,0.01,0.25,0.17,0
Dinotopia: The Sunstone Odyssey,XB,2003,Action,TDK Mediactive,0.01,0.36,0.04,0
"Crouching Tiger, Hidden Dragon",XB,2003,Action,Ubisoft,0.01,0.07,0.05,0.3
Space Raiders,GC,2003,Shooter,Taito,0.01,0.25,0.15,0
Legacy of Kain: Defiance,PC,2003,Action,Eidos Interactive,0.01,0.33,0.1,0
Karnaaj Rally,GBA,2003,Racing,Jaleco,0.01,0.16,0.23,0
Bust-A-Move 3000,GC,2003,Puzzle,Ubisoft,0.01,0.4,0.01,0
Men in Black II: Alien Escape,GC,2003,Shooter,Infogrames,0.01,0.13,0,0.31
Spirits & Spells,GBA,2003,Platform,Wanadoo,0.01,0,0,0.44
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,0.25,0.17,0
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,0.25,0.17,0
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,10.49,0,0,0.44
Super Mario 64,DS,2004,Platform,Nintendo,10.3,0.25,0.15,0.01
Halo 2,XB,2004,Shooter,Microsoft Game Studios,8.49,0.1,0.29,0
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,0.26,0.14,0
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,0.16,0.03,0.15
World of Warcraft,PC,2004,Role-Playing,Activision,6.29,0.35,0.08,0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,0.32,0.08,0
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,0.4,0.01,0.02
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,0.34,0.09,0
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,3.85,0,0,0.44
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,3.7,0.19,0.2,0
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,3.61,0.24,0.17,0
Spider-Man 2,PS2,2004,Action,Activision,3.41,0.28,0.12,0
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,2.9,0.17,0.13,0.06
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,2.89,0.34,0.08,0
Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,2.68,0.4,0,0
Fable,XB,2004,Role-Playing,Microsoft Game Studios,2.66,0,0,0.44
ESPN NFL 2K5,PS2,2004,Sports,Sega,2.62,0.24,0.17,0
NBA Live 2005,PS2,2004,Sports,Electronic Arts,2.59,0,0,0.43
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,2.57,0.41,0,0
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.37,0.34,0.09,0
The Incredibles,PS2,2004,Action,THQ,2.37,0.26,0.12,0.01
Tony Hawk's Underground 2,PS2,2004,Sports,Activision,2.37,0.31,0.12,0
James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,2.31,0.41,0.03,0
WarioWare Touched!,DS,2004,Puzzle,Nintendo,2.3,0,0.28,0.05
Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,2.28,0.19,0.18,0
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,2.25,0,0,0.44
Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,2.13,0.09,0.02,0.32
The Incredibles,GBA,2004,Action,THQ,2.06,0.25,0.14,0
Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,1.96,0.34,0.09,0
Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,1.94,0.31,0.12,0
X-Men Legends,PS2,2004,Role-Playing,Activision,1.93,0.26,0.13,0
MX Unleashed,PS2,2004,Racing,THQ,1.92,0.34,0.09,0
Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,1.88,0.41,0,0
Shrek 2,PS2,2004,Platform,Activision,1.86,0.31,0.12,0
SingStar,PS2,2004,Misc,Sony Computer Entertainment,1.86,0.36,0.01,0
Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.85,0.36,0.04,0.01
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.85,0.38,0.02,0
Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,1.81,0.41,0,0
The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,1.78,0,0.06,0
The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.76,0.28,0.12,0
Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,1.76,0,0,0.44
The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts,1.76,0,0,0.44
Star Wars: Battlefront,XB,2004,Shooter,Activision,1.75,0.26,0.12,0
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.75,0,0,0.44
Madden NFL 2005,XB,2004,Sports,Electronic Arts,1.72,0.21,0.17,0
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,1.71,0.36,0.01,0
NBA Ballers,PS2,2004,Sports,Midway Games,1.66,0.19,0.12,0.07
Mario Party 6,GC,2004,Misc,Nintendo,1.65,0.11,0.25,0
Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Role-Playing,Enix Corporation,1.65,0.24,0.15,0
Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,1.64,0.35,0.07,0
Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,1.64,0.35,0.05,0
ESPN NFL 2K5,XB,2004,Sports,Sega,1.63,0.26,0.1,0.07
NCAA Football 2005,PS2,2004,Sports,Electronic Arts,1.62,0.4,0,0
NFL Street 2,PS2,2004,Sports,Electronic Arts,1.61,0.21,0.17,0
ESPN NBA 2K5,PS2,2004,Sports,Global Star,1.59,0.18,0.21,0
Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.48,0.19,0.07,0.12
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,1.48,0.19,0.09,0.11
The SpongeBob SquarePants Movie,GBA,2004,Platform,THQ,1.46,0.2,0.19,0
Onimusha 3: Demon Siege,PS2,2004,Action,Capcom,1.45,0.31,0.12,0
Red Dead Revolver,PS2,2004,Shooter,Take-Two Interactive,1.45,0.41,0.02,0
Tiger Woods PGA Tour 2005,PS2,2004,Sports,Electronic Arts,1.44,0.17,0,0
Classic NES Series: Super Mario Bros.,GBA,2004,Platform,Nintendo,1.43,0.16,0,0.26
The Legend of Zelda: The Minish Cap,GBA,2004,Action,Nintendo,1.42,0.24,0.16,0
NFL Street,PS2,2004,Sports,Electronic Arts,1.42,0.32,0.09,0
NASCAR 2005: Chase for the Cup,PS2,2004,Racing,Electronic Arts,1.41,0.31,0.12,0
Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,1.4,0.2,0.13,0.06
Sonic Advance 3,GBA,2004,Platform,THQ,1.4,0.26,0.13,0
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004,Role-Playing,Activision,1.37,0.16,0.2,0
Tom Clancy's Ghost Recon 2,XB,2004,Shooter,Ubisoft,1.36,0.36,0.01,0
Samurai Warriors,PS2,2004,Action,Electronic Arts,1.35,0,0,0.43
SingStar Party,PS2,2004,Misc,Sony Computer Entertainment,1.35,0.19,0.18,0
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,1.34,0.4,0.02,0
MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.34,0.21,0.17,0
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004,Platform,Sony Computer Entertainment,1.33,0.17,0.13,0.11
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,1.33,0,0.34,0
Corvette,PS2,2004,Racing,TDK Mediactive,1.33,0.15,0.14,0.09
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,1.31,0.18,0.18,0
Transformers,PS2,2004,Shooter,Atari,1.29,0.24,0.16,0
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,1.28,0.26,0.13,0
Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,1.27,0.23,0.17,0
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,1.25,0.35,0,0
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,1.23,0.28,0.11,0.01
Driv3r,PS2,2004,Racing,Atari,1.23,0.22,0.09,0.07
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,1.23,0.21,0.17,0
Mario Power Tennis,GC,2004,Sports,Nintendo,1.22,0.4,0.02,0
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,1.21,0.21,0.17,0
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1.2,0.31,0.11,0
Pikmin 2,GC,2004,Strategy,Nintendo,1.2,0.18,0.07,0.17
Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,1.19,0.4,0,0
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,1.17,0,0,0.43
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,1.16,0.22,0.14,0
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,1.15,0.27,0.12,0
Need for Speed Underground 2,GC,2004,Racing,Electronic Arts,1.14,0.19,0.09,0.08
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,1.13,0.31,0.11,0
Spider-Man 2,XB,2004,Action,Activision,1.12,0.37,0,0
Lumines: Puzzle Fusion,PSP,2004,Puzzle,Ubisoft,1.11,0.15,0.04,0
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,1.08,0.21,0.16,0
Spider-Man 2,GBA,2004,Action,Activision,1.06,0.25,0.06,0.07
Shrek 2,GC,2004,Platform,Activision,1.02,0.28,0.14,0
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,1.02,0.36,0.01,0
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,1,0.39,0.01,0
FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.97,0.21,0.16,0
ESPN NBA 2K5,XB,2004,Sports,Global Star,0.95,0.21,0.06,0.13
World Championship Poker,PS2,2004,Misc,Play It,0.95,0.1,0.07,0.24
Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.94,0.23,0.12,0.04
The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.94,0.26,0.11,0
Crash City Mayhem,GBA,2004,Racing,THQ,0.93,0.09,0.07,0.25
Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.91,0.21,0.16,0
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.9,0.29,0.11,0
X-Men Legends,XB,2004,Role-Playing,Activision,0.9,0.07,0.05,0.29
NBA Live 2005,XB,2004,Sports,Electronic Arts,0.9,0.34,0.03,0.03
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.89,0.16,0.22,0
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.89,0.25,0.14,0
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.88,0.17,0.01,0.23
Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.87,0.39,0.01,0
Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.85,0.19,0.17,0
